clip_id,path,flip,stance,source_url,license,notes
heavybag,clips/heavybag.mp4,true,orthodox,,own,mirrored front-cam; jabs only
pro_shadow_01,clips/pro_shadow_01.mp4,false,,https://youtube.com/REPLACE_ME,unverified,media workout; flash bursts ~425-427 and ~549-551
